All beacon coordinates wrt scanner 0:
4650,-1309,1063
6249,-375,1894
-580,-3141,-566
1093,-3591,-1328
209,-5673,-1916
1955,817,665
1808,-2087,651
4110,1553,1671
-521,-4367,-760
5359,-1756,1520
-160,-1303,2344
4151,1632,1645
734,1768,457
-546,-4411,-788
-822,572,318
3958,718,668
-190,-2431,38
1864,-772,557
336,-2785,-538
-655,-3191,-504
638,693,-1914
5238,2852,622
1839,726,-2024
556,2785,-877
6493,-597,437
2285,-1175,-26
1986,684,-1966
1869,1660,490
1131,-2408,-5
5521,-526,1972
-30,14,-1315
-544,2861,564
1024,-1241,2310
5967,-1276,2346
458,-2120,2740
5819,-1137,2438
1769,1709,-688
241,-2768,632
215,-1563,-2066
4151,-1832,652
583,-1918,714
6461,-1642,3007
261,-2737,-582
211,-1735,1834
-565,-462,1642
2861,-1588,-2005
1672,-1888,2940
313,-2893,-580
1078,-1156,-1313
3082,-2996,1741
-574,-5674,-768
1112,1215,24
5112,-1625,587
-670,-600,-2113
1794,1724,-2080
-532,689,-2027
-524,-1647,801
1977,-3987,697
3972,2856,426
5430,-1755,1581
803,-656,2950
-794,3135,-484
1078,2325,-141
1930,-4193,-934
444,-4191,701
1845,-4298,-1699
3961,-1813,1998
4172,-765,2747
1193,-3522,-1186
5021,-1890,3049
-608,-2994,-1797
3032,-1965,2965
1696,-435,-1908
1858,2800,295
4631,1127,1088
517,-4078,-2007
556,825,-679
4736,-1248,1218
685,1910,-2002
1759,-2879,-688
3060,-3173,1774
2940,-496,2055
481,-529,-672
1853,-3205,-1619
4383,2970,1794
2974,-547,-1762
1740,-819,2003
5957,-1243,1245
3914,1753,659
1959,-4251,-751
1859,-4266,-1601
765,837,-607
445,-4185,-2027
1813,477,-539
1987,-2869,597
2378,-1251,-1156
-835,3199,-349
667,-2005,827
5149,-538,2840
3905,591,1597
2696,623,325
1133,-109,-1313
4045,-1720,1947
-169,-4912,-1250
5087,-1796,687
6389,-1705,2960
1719,373,-625
1159,2404,20
313,-5278,806
3986,1740,762
1808,-1600,-1794
5255,1921,271
-685,-2913,-1751
5095,-704,656
320,-5219,814
-556,691,-2071
-128,-98,-1210
-909,-1880,-775
4154,-617,1720
5840,-1180,1090
633,1808,322
1947,-2938,582
-563,-5566,-672
-550,1606,443
4738,-12,1103
1189,51,-1190
2273,-3554,1060
-469,-5450,416
1604,-1603,-1722
3,77,51
621,1997,-1985
-764,-567,3225
4175,-744,2729
1794,-460,-1904
-504,1720,510
1815,-919,496
-24,-1221,2437
2715,-2923,351
561,-4156,-2090
289,-5611,-1855
2901,-617,429
-651,-2895,-1899
-26,-2383,-120
-24,-3551,-1329
1966,753,719
1631,-1627,-1808
1794,1664,-1899
4162,-713,2679
5377,-1602,1631
-865,488,433
-734,3061,-362
3008,-591,1962
591,-2068,785
2698,707,430
4070,1804,621
2849,-416,-1787
